iter	RMSE
0	0.37441749
1	0.3525455205
2	0.3338156288
3	0.3184817088
4	0.3044323312
5	0.2901970152
6	0.2783814233
7	0.2673968291
8	0.2569808158
9	0.2493261029
10	0.241790154
11	0.2352356057
12	0.2284212923
13	0.2227639508
14	0.2179529503
15	0.2128453704
16	0.2077484065
17	0.2043480236
18	0.2001728794
19	0.1965363747
20	0.1933549247
21	0.1896366138
22	0.1872553838
23	0.1849903639
24	0.1824944747
25	0.1798416643
26	0.1782635733
27	0.1762515551
28	0.1748956027
29	0.1734632572
30	0.1725157295
31	0.1714422497
32	0.1698450987
33	0.1684159122
34	0.1677181785
35	0.1663943409
36	0.1658485685
37	0.1648358745
38	0.1636007518
39	0.1626872825
40	0.1614662526
41	0.1608181673
42	0.1602328775
43	0.1595959898
44	0.159338858
45	0.1584286525
46	0.1580834744
47	0.1574756679
48	0.15706538
49	0.1563877663
50	0.1558558532
51	0.1551610193
52	0.1546351613
53	0.1542918368
54	0.1538410552
55	0.1530235416
56	0.1528491542
57	0.1519957638
58	0.1512621376
59	0.151154268
60	0.1505542365
61	0.1500446416
62	0.1497812209
63	0.1492319952
64	0.1487147449
65	0.1482135625
66	0.1475766225
67	0.1474552729
68	0.1471342528
69	0.1468238093
70	0.1465728753
71	0.1461400872
72	0.1459348213
73	0.1458169801
74	0.1453929218
75	0.1449192429
76	0.1445034627
77	0.1442735265
78	0.1441115769
79	0.1436833502
80	0.1435472705
81	0.1433724883
82	0.1432790557
83	0.1432463064
84	0.1431275942
85	0.1431231857
86	0.1429812114
87	0.1427824395
88	0.1418708258
89	0.1412023893
90	0.140856143
91	0.1407246479
92	0.1405167902
93	0.1402633272
94	0.1401014802
95	0.1396742326
96	0.1396618543
97	0.1394183872
98	0.1390226772
99	0.1389913519
100	0.1389357868
101	0.1388499907
102	0.1388026104
103	0.1384704095
104	0.1383006203
105	0.138033971
106	0.1380118604
107	0.1376962682
108	0.1375727089
109	0.1373368726
110	0.1370026506
111	0.1365031387
112	0.1362645321
113	0.1358797868
114	0.1358116429
115	0.1353678052
116	0.1351856207
117	0.1350950869
118	0.1350099292
119	0.1347675963
120	0.1345141841
121	0.1344137838
122	0.1343133333
123	0.1339644972
124	0.1338089296
125	0.1337456859
126	0.1336054683
127	0.1330094751
128	0.1328361811
129	0.1323167754
130	0.1320176759
131	0.1317365548
132	0.1316472587
133	0.1313079291
134	0.1310393962
135	0.1309830221
136	0.1308105126
137	0.1307574422
138	0.1305617232
139	0.1300841836
140	0.1298512936
141	0.1294960564
142	0.129193099
143	0.1289802423
144	0.1285966363
145	0.1283847838
146	0.1283360856
147	0.1283057737
148	0.1282011277
149	0.1278828812
150	0.1277392767
151	0.1275106884
152	0.1274713911
153	0.1273377895
154	0.1271100258
155	0.1269404928
156	0.126861761
157	0.1266606395
158	0.1266199492
159	0.1265243771
160	0.1261585403
161	0.125966985
162	0.1257638828
163	0.1255969082
164	0.1254072025
165	0.125308971
166	0.1252116701
167	0.125102328
168	0.124979244
169	0.1248866807
170	0.1248051975
171	0.1248007401
172	0.1247032293
173	0.1243831021
174	0.1243481309
175	0.1242556289
176	0.1241796865
177	0.1239304805
178	0.1239093812
179	0.123708939
180	0.1233933567
181	0.1233721482
182	0.1233010427
183	0.1231339634
184	0.1230785796
185	0.1229775228
186	0.1225947812
187	0.1223112595
188	0.1222727359
189	0.1221565369
190	0.1219689029
191	0.1218382825
192	0.1216355367
