iter	Passed	Remaining
0	31	10025
1	65	10612
2	105	11337
3	140	11268
4	173	11048
5	206	10947
6	239	10866
7	273	10799
8	303	10611
9	331	10422
10	362	10321
11	391	10176
12	420	10047
13	448	9932
14	477	9826
15	506	9743
16	535	9670
17	565	9606
18	593	9523
19	622	9463
20	651	9396
21	679	9323
22	708	9273
23	737	9224
24	767	9174
25	795	9122
26	825	9080
27	856	9049
28	883	8989
29	911	8928
30	938	8872
31	966	8816
32	994	8773
33	1025	8746
34	1058	8738
35	1088	8704
36	1121	8700
37	1152	8676
38	1184	8658
39	1215	8626
40	1247	8611
41	1280	8598
42	1313	8584
43	1347	8575
44	1378	8544
45	1408	8513
46	1442	8499
47	1473	8474
48	1504	8444
49	1535	8417
50	1568	8395
51	1597	8357
52	1638	8380
53	1710	8550
54	1758	8602
55	1792	8580
56	1824	8547
57	1860	8532
58	1899	8529
59	1935	8517
60	1973	8508
61	2010	8494
62	2042	8460
63	2076	8435
64	2105	8390
65	2135	8348
66	2167	8314
67	2199	8278
68	2231	8247
69	2263	8214
70	2296	8183
71	2329	8151
72	2360	8116
73	2390	8075
74	2420	8037
75	2452	8002
76	2483	7966
77	2516	7935
78	2551	7913
79	2588	7893
80	2622	7868
81	2656	7839
82	2689	7809
83	2721	7774
84	2751	7736
85	2781	7697
86	2810	7657
87	2838	7613
88	2869	7578
89	2902	7546
90	2932	7507
91	2959	7463
92	2988	7422
93	3017	7383
94	3045	7341
95	3087	7333
96	3127	7319
97	3158	7283
98	3188	7247
99	3218	7209
100	3250	7177
101	3282	7144
102	3311	7105
103	3340	7067
104	3369	7027
105	3399	6991
106	3427	6951
107	3455	6911
108	3482	6869
109	3510	6829
110	3537	6788
111	3565	6749
112	3594	6711
113	3621	6671
114	3648	6629
115	3676	6592
116	3703	6552
117	3730	6513
118	3757	6473
119	3784	6433
120	3811	6395
121	3839	6356
122	3871	6326
123	3899	6289
124	3929	6256
125	3962	6226
126	3993	6194
127	4024	6163
128	4061	6139
129	4100	6118
130	4141	6101
131	4176	6074
132	4215	6053
133	4254	6031
134	4294	6011
135	4330	5986
136	4375	5972
137	4418	5955
138	4460	5936
139	4506	5922
140	4542	5895
141	4580	5871
142	4620	5848
143	4656	5821
144	4690	5790
145	4729	5766
146	4806	5787
147	4848	5766
148	4886	5739
149	4930	5719
150	4971	5696
151	5017	5677
152	5053	5647
153	5088	5616
154	5124	5587
155	5155	5552
156	5190	5520
157	5225	5489
158	5259	5457
159	5298	5431
160	5340	5407
161	5376	5376
162	5412	5345
163	5448	5315
164	5483	5283
165	5521	5255
166	5564	5231
167	5604	5204
168	5642	5175
169	5674	5140
170	5707	5106
171	5742	5075
172	5775	5041
173	5811	5009
174	5845	4977
175	5880	4945
176	5920	4917
177	5959	4888
178	5996	4857
179	6035	4828
180	6068	4794
181	6100	4759
182	6133	4725
183	6163	4689
184	6192	4653
185	6225	4618
186	6256	4583
187	6294	4553
188	6332	4523
189	6373	4494
190	6410	4463
191	6448	4433
192	6489	4404
193	6526	4373
194	6561	4340
195	6592	4305
196	6622	4269
197	6650	4232
198	6679	4195
199	6709	4160
200	6740	4124
201	6768	4088
202	6797	4051
203	6831	4018
204	6861	3983
205	6897	3950
206	6938	3921
207	6974	3889
208	7021	3863
209	7059	3832
210	7098	3801
211	7136	3770
212	7169	3736
213	7203	3702
214	7236	3668
215	7267	3633
216	7298	3598
217	7332	3565
218	7368	3532
219	7402	3499
220	7438	3466
221	7475	3434
222	7517	3404
223	7555	3373
224	7591	3340
225	7630	3308
226	7668	3276
227	7705	3244
228	7741	3211
229	7772	3176
230	7812	3145
231	7848	3112
232	7884	3079
233	7922	3047
234	7954	3012
235	7990	2979
236	8027	2946
237	8055	2910
238	8089	2876
239	8122	2842
240	8153	2807
241	8185	2773
242	8217	2739
243	8248	2704
244	8279	2669
245	8310	2635
246	8342	2600
247	8372	2565
248	8403	2531
249	8435	2496
250	8466	2462
251	8497	2427
252	8530	2394
253	8560	2359
254	8592	2325
255	8625	2291
256	8655	2256
257	8685	2221
258	8716	2187
259	8745	2152
260	8774	2117
261	8802	2083
262	8833	2048
263	8860	2013
264	8887	1978
265	8915	1944
266	8944	1909
267	8974	1875
268	9005	1841
269	9035	1807
270	9069	1773
271	9100	1739
272	9134	1706
273	9167	1672
274	9197	1638
275	9227	1604
276	9257	1570
277	9288	1536
278	9316	1502
279	9345	1468
280	9373	1434
281	9405	1400
282	9434	1366
283	9462	1332
284	9490	1298
285	9523	1265
286	9555	1231
287	9585	1198
288	9619	1164
289	9652	1131
290	9685	1098
291	9718	1064
292	9750	1031
293	9784	998
294	9813	964
295	9874	934
296	9907	900
297	9944	867
298	9997	835
299	10037	803
300	10079	770
301	10120	737
302	10158	704
303	10195	670
304	10234	637
305	10272	604
306	10312	571
307	10351	537
308	10385	504
309	10420	470
310	10455	437
311	10485	403
312	10516	369
313	10547	335
314	10577	302
315	10607	268
316	10639	234
317	10670	201
318	10698	167
319	10732	134
320	10762	100
321	10791	67
322	10821	33
323	10852	0
